recording_id,label,label_idx,load_hp,rpm,fault_size,sampling_rate,channel,rel_path,path
0,Normal,0,0,1797,0.0,12000,FE,Source_Datasets/01_Normal_Baseline/Normal_0HP_1797rpm.mat,C:\Users\qq299\Desktop\2026年暑假课堂作业和大作业\cv2\2025E\cwru_experiment\Source_Datasets/01_Normal_Baseline/Normal_0HP_1797rpm.mat
1,Normal,0,1,1772,0.0,12000,FE,Source_Datasets/01_Normal_Baseline/Normal_1HP_1772rpm.mat,C:\Users\qq299\Desktop\2026年暑假课堂作业和大作业\cv2\2025E\cwru_experiment\Source_Datasets/01_Normal_Baseline/Normal_1HP_1772rpm.mat
2,Normal,0,2,1750,0.0,12000,FE,Source_Datasets/01_Normal_Baseline/Normal_2HP_1750rpm.mat,C:\Users\qq299\Desktop\2026年暑假课堂作业和大作业\cv2\2025E\cwru_experiment\Source_Datasets/01_Normal_Baseline/Normal_2HP_1750rpm.mat
3,Normal,0,3,1730,0.0,12000,FE,Source_Datasets/01_Normal_Baseline/Normal_3HP_1730rpm.mat,C:\Users\qq299\Desktop\2026年暑假课堂作业和大作业\cv2\2025E\cwru_experiment\Source_Datasets/01_Normal_Baseline/Normal_3HP_1730rpm.mat
4,B,3,0,1797,0.007,12000,FE,Source_Datasets/04_12k_Fan_End_Fault/B007_0HP_1797rpm.mat,C:\Users\qq299\Desktop\2026年暑假课堂作业和大作业\cv2\2025E\cwru_experiment\Source_Datasets/04_12k_Fan_End_Fault/B007_0HP_1797rpm.mat
5,B,3,1,1772,0.007,12000,FE,Source_Datasets/04_12k_Fan_End_Fault/B007_1HP_1772rpm.mat,C:\Users\qq299\Desktop\2026年暑假课堂作业和大作业\cv2\2025E\cwru_experiment\Source_Datasets/04_12k_Fan_End_Fault/B007_1HP_1772rpm.mat
6,B,3,2,1750,0.007,12000,FE,Source_Datasets/04_12k_Fan_End_Fault/B007_2HP_1750rpm.mat,C:\Users\qq299\Desktop\2026年暑假课堂作业和大作业\cv2\2025E\cwru_experiment\Source_Datasets/04_12k_Fan_End_Fault/B007_2HP_1750rpm.mat
7,B,3,3,1730,0.007,12000,FE,Source_Datasets/04_12k_Fan_End_Fault/B007_3HP_1730rpm.mat,C:\Users\qq299\Desktop\2026年暑假课堂作业和大作业\cv2\2025E\cwru_experiment\Source_Datasets/04_12k_Fan_End_Fault/B007_3HP_1730rpm.mat
8,B,3,0,1797,0.014,12000,FE,Source_Datasets/04_12k_Fan_End_Fault/B014_0HP_1797rpm.mat,C:\Users\qq299\Desktop\2026年暑假课堂作业和大作业\cv2\2025E\cwru_experiment\Source_Datasets/04_12k_Fan_End_Fault/B014_0HP_1797rpm.mat
9,B,3,1,1772,0.014,12000,FE,Source_Datasets/04_12k_Fan_End_Fault/B014_1HP_1772rpm.mat,C:\Users\qq299\Desktop\2026年暑假课堂作业和大作业\cv2\2025E\cwru_experiment\Source_Datasets/04_12k_Fan_End_Fault/B014_1HP_1772rpm.mat
